"playerid","birthyear","birthcountry","deathyear","namefirst","namelast","weight","height","bats","throws"
"checoro01",1971,"D.R.",NULL,"Robinson","Checo",165,73,"R","R"
"cheekha01",1879,"USA",1927,"Harry","Cheek",160,68,"R","R"
"cheevvi01",1901,"USA",1979,"Virgil","Cheeves",195,72,"R","R"
"cheliit01",1914,"USA",1972,"Italo","Chelini",175,70,"L","L"
"chenbr01",1977,"Panama",NULL,"Bruce","Chen",215,74,"L","L"
"chench01",1977,"Taiwan",NULL,"Chin-Feng","Chen",189,73,"R","R"
"chenela01",1886,"USA",1969,"Larry","Cheney",185,73,"R","R"
"cheneto01",1934,"USA",2001,"Tom","Cheney",170,71,"R","R"
"chenwe02",1985,"Taiwan",NULL,"Wei-Yin","Chen",200,72,"R","L"
"cherrro01",1979,"USA",NULL,"Rocky","Cherry",225,77,"R","R"
"chervpa01",1910,"USA",1976,"Paul","Chervinko",185,68,"R","R"
"chesbja01",1874,"USA",1931,"Jack","Chesbro",180,69,"R","R"
"chesnbo01",1921,"USA",1979,"Bob","Chesnes",180,72,"B","R"
"chetkmi01",1917,"USA",1971,"Mitch","Chetkovich",208,75,"R","R"
"cheveto01",1953,"Nicaragua",NULL,"Tony","Chevez",177,71,"R","R"
"chiamsc01",1966,"USA",NULL,"Scott","Chiamparino",190,74,"R","R"
"chiassc01",1977,"USA",NULL,"Scott","Chiasson",210,75,"R","R"
"chicktr01",1984,"USA",NULL,"Travis","Chick",215,75,"R","R"
"chicoma01",1983,"USA",NULL,"Matt","Chico",210,71,"L","L"
"chifffl01",1956,"USA",NULL,"Floyd","Chiffer",185,74,"R","R"
"childbi01",NULL,"USA",NULL,"Bill","Childers",NULL,NULL,NULL,NULL
"childcu01",1867,"USA",1912,"Cupid","Childs",185,68,"L","R"
"childha01",1905,"USA",1972,"Harry","Child",187,71,"B","R"
"childja01",1975,"USA",NULL,"Jason","Childers",160,72,"R","R"
"childma01",1978,"USA",NULL,"Matt","Childers",215,77,"R","R"
"childpe01",1871,"USA",1922,"Pete","Childs",175,67,NULL,"R"
"childro01",1962,"USA",NULL,"Rocky","Childress",195,74,"R","R"
"childsa01",1861,"USA",1938,"Sam","Childs",NULL,NULL,NULL,NULL
"chilepe01",1867,"USA",1933,"Pearce","Chiles",185,71,"R","R"
"chileri01",1949,"USA",NULL,"Rich","Chiles",170,71,"L","L"
"chiozdi01",1912,"USA",1972,"Dino","Chiozza",170,72,"L","R"
"chiozlo01",1910,"USA",1971,"Lou","Chiozza",172,72,"L","R"
"chipmbo01",1918,"USA",1973,"Bob","Chipman",190,74,"L","L"
"chippwa01",1918,"USA",1988,"Walt","Chipple",168,72,"R","R"
"chiriro01",1984,"Venezuela",NULL,"Robinson","Chirinos",210,73,"R","R"
"chiselo01",1988,"USA",NULL,"Lonnie","Chisenhall",190,74,"L","R"
"chismto01",1954,"USA",NULL,"Tom","Chism",195,73,"L","L"
"chitiha01",1932,"USA",2002,"Harry","Chiti",221,74,"R","R"
"chitrst01",1967,"Japan",NULL,"Steve","Chitren",180,72,"R","R"
"chittne01",1933,"USA",NULL,"Nelson","Chittum",180,73,"R","R"
"chlupbo01",1945,"USA",NULL,"Bob","Chlupsa",215,79,"R","R"
"choatdo01",1938,"USA",2018,"Don","Choate",185,72,"R","R"
"choatra01",1975,"USA",NULL,"Randy","Choate",205,73,"L","L"
"choicmi01",1989,"USA",NULL,"Michael","Choice",230,72,"R","R"
"choihe01",1979,"South Korea",NULL,"Hee-Seop","Choi",235,77,"L","L"
"choiji01",1991,"South Korea",NULL,"Ji-Man","Choi",230,73,"L","R"
"choji01",1975,"South Korea",NULL,"Jin Ho","Cho",175,72,"R","R"
"choosh01",1982,"South Korea",NULL,"Shin-Soo","Choo",210,71,"L","L"
"chouibo01",1972,"Philippines",NULL,"Bobby","Chouinard",195,73,"R","R"
"chouife01",1887,"USA",1955,"Felix","Chouinard",150,67,"R","R"
"chounch01",1888,"USA",1946,"Chief","Chouneau",150,69,"R","R"
"chozeha01",1915,"USA",1994,"Harry","Chozen",195,69,"R","R"
"chrisbo01",1945,"USA",1974,"Bob","Christian",180,70,"R","R"
"chrisbr01",1948,"USA",NULL,"Bruce","Christensen",160,71,"L","R"
"chriscl01",1958,"USA",NULL,"Clay","Christiansen",205,77,"R","R"
"chriscu01",1899,"USA",1984,"Cuckoo","Christensen",156,66,"L","L"
"chrisga01",1953,"USA",NULL,"Gary","Christenson",200,77,"L","L"
"chrisja01",1969,"USA",NULL,"Jason","Christiansen",230,77,"R","L"
"chrisjo01",1935,"V.I.",NULL,"Joe","Christopher",175,70,"R","R"
"chrisjo02",1960,"USA",NULL,"John","Christensen",205,75,"R","R"
"chrisju01",1980,"USA",NULL,"Justin","Christian",195,73,"R","R"
"chrisla01",1953,"USA",NULL,"Larry","Christenson",215,76,"R","R"
"chrisll01",1893,"USA",1944,"Lloyd","Christenbury",165,67,"L","R"
"chrislo01",1919,"USA",1991,"Loyd","Christopher",190,74,"R","R"
"chrisma01",1913,"USA",1976,"Mark","Christman",175,71,"R","R"
"chrismc01",1975,"USA",NULL,"McKay","Christensen",180,71,"L","L"
"chrismi01",1957,"USA",NULL,"Mike","Chris",180,75,"L","L"
"chrismi02",1963,"USA",NULL,"Mike","Christopher",205,77,"R","R"
"chrisne01",1931,"USA",2013,"Neil","Chrisley",187,75,"L","R"
"chrisni01",1987,"USA",NULL,"Nick","Christiani",190,72,"R","R"
"chrisru01",1917,"USA",1954,"Russ","Christopher",170,75,"R","R"
"chrisry01",1974,"USA",NULL,"Ryan","Christenson",175,71,"R","R"
"chrisst01",1957,"USA",NULL,"Steve","Christmas",190,72,"L","R"
"christi01",1975,"USA",NULL,"Tim","Christman",195,72,"L","L"
"chulkvi01",1978,"USA",NULL,"Vinnie","Chulk",200,74,"R","R"
"churcbu01",1924,"USA",2001,"Bubba","Church",180,72,"R","R"
"churchi01",1863,"USA",1926,"Hi","Church",NULL,NULL,NULL,NULL
"churcle01",1942,"USA",1988,"Len","Church",190,72,"B","R"
"churcry01",1978,"USA",NULL,"Ryan","Church",190,73,"L","L"
"churnch01",1930,"USA",2017,"Chuck","Churn",205,75,"R","R"
"churrjo01",1900,"USA",1970,"John","Churry",172,69,"R","R"
"chylane99",1922,"USA",1982,"Nestor","Chylak",190,72,NULL,NULL
"ciaffla01",1924,"USA",1991,"Larry","Ciaffone",185,69,"R","R"
"cianfar01",1966,"USA",NULL,"Archi","Cianfrocco",200,77,"R","R"
"ciardma01",1961,"USA",NULL,"Mark","Ciardi",180,72,"R","R"
"ciasda01",1957,"USA",NULL,"Darryl","Cias",190,71,"R","R"
"cicerjo01",1910,"USA",1983,"Joe","Cicero",167,68,"R","R"
"cicotal01",1929,"USA",1982,"Al","Cicotte",185,75,"R","R"
"cicoted01",1884,"USA",1969,"Eddie","Cicotte",175,69,"B","R"
"cieslte01",1912,"USA",1993,"Ted","Cieslak",175,70,"R","R"
"cihocal01",1924,"USA",2014,"Al","Cihocki",185,71,"R","R"
"cihoced01",1907,"USA",1987,"Ed","Cihocki",163,68,"R","R"
"ciminpe01",1942,"USA",NULL,"Pete","Cimino",195,74,"R","R"
"cimolgi01",1929,"USA",2011,"Gino","Cimoli",180,73,"R","R"
"cimorfr01",1968,"USA",NULL,"Frank","Cimorelli",175,72,"R","R"
"cingrto01",1989,"USA",NULL,"Tony","Cingrani",214,76,"L","L"
"cintral01",1978,"P.R.",NULL,"Alex","Cintron",210,74,"B","R"
"ciolalo01",1922,"USA",1981,"Lou","Ciola",165,69,"R","R"
"ciprifr01",1941,"USA",NULL,"Frank","Cipriani",180,72,"R","R"
"ciriape01",1985,"D.R.",NULL,"Pedro","Ciriaco",180,72,"R","R"
"cirilje01",1969,"USA",NULL,"Jeff","Cirillo",190,74,"R","R"
"cisarge01",1910,"USA",2010,"George","Cisar",175,72,"R","R"
"ciscoga01",1936,"USA",NULL,"Galen","Cisco",200,72,"R","R"
"cishest01",1986,"USA",NULL,"Steve","Cishek",215,78,"R","R"
"cisnejo01",1989,"D.R.",NULL,"Jose","Cisnero",245,75,"R","R"
"cissebi01",1904,"USA",1949,"Bill","Cissell",170,71,"R","R"
"citarra01",1958,"USA",NULL,"Ralph","Citarella",180,72,"R","R"
"clabamo01",1901,"USA",1984,"Moose","Clabaugh",185,72,"L","R"
"clackbo01",1850,"United Kingdom",1933,"Bobby","Clack",153,69,"R","R"
"claggan01",1984,"USA",NULL,"Anthony","Claggett",195,75,"B","R"
"claibpr01",1988,"USA",NULL,"Preston","Claiborne",225,74,"R","R"
"clairda01",1897,"USA",1956,"Davey","Claire",164,68,"R","R"
"clancal01",1888,"USA",1951,"Al","Clancy",175,70,"R","R"
"clancbi01",1879,"USA",1948,"Bill","Clancy",180,74,"L","R"
"clancbu01",1900,"USA",1968,"Bud","Clancy",170,72,"L","L"
"clancji01",1955,"USA",NULL,"Jim","Clancy",220,76,"R","R"
"clantuk01",1898,"USA",1960,"Uke","Clanton",165,68,"L","L"
"clapich01",1971,"USA",NULL,"Chris","Clapinski",175,72,"B","R"
"clappaa01",1856,"USA",1914,"Aaron","Clapp",175,68,NULL,"R"
"clappjo01",1851,"USA",1904,"John","Clapp",194,67,"R","R"
"clappst01",1973,"CAN",NULL,"Stubby","Clapp",175,68,"L","R"
"clarede01",1853,"USA",1928,"Denny","Clare",NULL,NULL,NULL,NULL
"claredo01",1954,"USA",NULL,"Doug","Clarey",180,72,"R","R"
"clarkal01",1923,"USA",2012,"Allie","Clark",185,72,"R","R"
"clarkar01",1865,"USA",1949,"Artie","Clarke",155,68,"R","R"
"clarkbi01",1898,"USA",1971,"Bill","Clarkson",160,71,"R","R"
"clarkbo01",1863,"USA",1919,"Bob","Clark",175,70,"R","R"
"clarkbo02",1868,"USA",1959,"Boileryard","Clarke",170,71,"R","R"
"clarkbo03",1897,"USA",1944,"Bob","Clark",188,75,"R","R"
"clarkbo04",1955,"USA",NULL,"Bobby","Clark",190,72,"R","R"
"clarkbr01",1956,"USA",NULL,"Bryan","Clark",185,74,"L","L"
"clarkbr02",1973,"USA",NULL,"Brady","Clark",195,74,"R","R"
"clarkbu01",1915,"USA",1989,"Buzz","Clarkson",210,71,"R","R"
"clarkca01",1906,"USA",1957,"Cap","Clark",180,71,"L","R"
"clarkco01",1981,"USA",NULL,"Cody","Clark",200,75,"R","R"
"clarkda01",1865,"USA",1911,"Dad","Clarke",160,67,"B","R"
"clarkda02",1866,"USA",1911,"Dad","Clarkson",165,70,"R","R"
"clarkda03",1873,"USA",1956,"Dad","Clark",170,71,"L","L"
"clarkda04",1894,"USA",1937,"Danny","Clark",167,69,"L","R"
"clarkda05",1962,"USA",NULL,"Dave","Clark",200,74,"L","R"
"clarkda06",1981,"USA",NULL,"Darren","Clarke",235,80,"R","R"
"clarkdo01",1976,"USA",NULL,"Doug","Clark",205,74,"L","R"
"clarkea01",1907,"USA",1938,"Earl","Clark",160,70,"R","R"
"clarked01",1863,"USA",1927,"Ed","Clark",NULL,70,NULL,NULL
"clarkfr01",1872,"USA",1960,"Fred","Clarke",165,70,"L","R"
"clarkge01",1891,"USA",1940,"George","Clark",190,72,"R","L"
"clarkgi01",1879,"USA",1943,"Ginger","Clark",165,71,"R","R"
"clarkgl01",1941,"USA",NULL,"Glen","Clark",190,73,"B","R"
"clarkgr01",1912,"USA",1993,"Grey","Clarke",183,69,"R","R"
"clarkha01",1861,"USA",1923,"Harry","Clarke",NULL,NULL,NULL,NULL
"clarkhe01",1875,"USA",1950,"Henry","Clarke",NULL,NULL,"R","R"
"clarkho01",1940,"V.I.",NULL,"Horace","Clarke",175,69,"B","R"
"clarkho02",1974,"USA",NULL,"Howie","Clark",195,70,"L","R"
"clarkja01",1955,"USA",NULL,"Jack","Clark",175,74,"R","R"
"clarkje01",1963,"USA",NULL,"Jerald","Clark",200,76,"R","R"
"clarkje02",1976,"USA",NULL,"Jermaine","Clark",175,70,"L","R"
"clarkji01",1887,"USA",1969,"Jim","Clark",175,71,"R","R"
"clarkji02",1927,"USA",1990,"Jim","Clark",150,69,"R","R"
"clarkji03",1947,"USA",NULL,"Jim","Clark",190,73,"R","R"
"clarkjo01",1861,"USA",1909,"John","Clarkson",155,70,"R","R"
"clarkjo02",1879,"USA",1962,"Josh","Clarke",180,70,"L","R"
"clarkle01",1896,"USA",1975,"Lefty","Clarke",180,71,"B","L"
"clarkma01",1968,"USA",NULL,"Mark","Clark",225,77,"R","R"
"clarkma02",1986,"USA",NULL,"Matt","Clark",230,77,"L","R"
"clarkme01",1924,"USA",2014,"Mel","Clark",180,72,"R","R"
"clarkmi01",1922,"USA",1996,"Mike","Clark",190,76,"R","R"
"clarkni01",1882,"CAN",1949,"Nig","Clarke",165,68,"L","R"
"clarkot01",1915,"USA",2010,"Otey","Clark",190,73,"R","R"
"clarkpe01",1883,"USA",1965,"Pep","Clark",175,67,"R","R"
"clarkph01",1932,"USA",NULL,"Phil","Clark",210,75,"R","R"
"clarkph02",1968,"USA",NULL,"Phil","Clark",180,72,"R","R"
"clarkri01",1946,"USA",NULL,"Rickey","Clark",170,74,"R","R"
"clarkro01",1874,"USA",1925,"Roy","Clark",170,68,"L","R"
"clarkro02",1943,"USA",NULL,"Ron","Clark",175,70,"R","R"
"clarkru01",1900,"USA",1983,"Rufe","Clarke",203,73,"R","R"
"clarksp01",1867,"USA",1892,"Spider","Clark",150,70,"R","R"
"clarkst01",1906,"USA",1985,"Stu","Clarke",160,68,"R","R"
"clarkst02",1960,"USA",NULL,"Stan","Clarke",180,73,"R","L"
"clarksu01",1897,"USA",1962,"Sumpter","Clarke",170,71,"R","R"
"clarkte01",1960,"USA",NULL,"Terry","Clark",195,74,"R","R"
"clarkto01",1888,"USA",1945,"Tommy","Clarke",175,71,"R","R"
"clarkto02",1972,"USA",NULL,"Tony","Clark",205,80,"B","R"
"clarkwa01",1878,"USA",1946,"Walter","Clarkson",150,70,"R","R"
"clarkwa02",1902,"USA",1972,"Watty","Clark",175,72,"L","L"
"clarkwe01",1928,"Panama",1970,"Webbo","Clarke",165,72,"L","L"
"clarkwi01",1870,"USA",1932,"Willie","Clark",195,72,"L","L"
"clarkwi02",1964,"USA",NULL,"Will","Clark",190,74,"L","L"
"clarkwi03",1875,"USA",1959,"Win","Clark",175,70,"R","R"
"clarkza01",1983,"USA",NULL,"Zach","Clark",200,72,"R","R"
"claryel01",1916,"USA",2000,"Ellis","Clary",160,68,"R","R"
"claryma01",1962,"USA",NULL,"Marty","Clary",190,76,"R","R"
"clasego01",1907,"USA",1981,"Gowell","Claset",210,75,"B","L"
"claudal01",1992,"P.R.",NULL,"Alex","Claudio",180,75,"L","L"
"clausal01",1891,"USA",1952,"Al","Clauss",178,70,"R","L"
"clausbr01",1979,"USA",NULL,"Brandon","Claussen",200,74,"R","L"
"clausfr01",1869,"USA",1960,"Fritz","Clausen",190,71,"R","L"
"claybi01",1874,"USA",1917,"Bill","Clay",175,NULL,"L","L"
"clayda01",1919,"USA",1994,"Dain","Clay",160,70,"R","R"
"clayda02",1961,"USA",NULL,"Danny","Clay",190,73,"R","R"
"clayke01",1954,"USA",NULL,"Ken","Clay",185,75,"R","R"
"claytro01",1970,"USA",NULL,"Royce","Clayton",175,72,"R","R"
"clearjo01",1918,"Ireland",2004,"Joe","Cleary",150,69,"R","R"
"clearma01",1956,"USA",NULL,"Mark","Clear",200,76,"R","R"
"clemebi01",1919,"USA",1994,"Bill","Clemensen",193,73,"R","R"
"clemebo01",1886,"USA",1964,"Bob","Clemens",163,69,"R","R"
"clemech01",1917,"USA",2002,"Chet","Clemens",175,72,"R","R"
"clemecl01",1886,"USA",1967,"Clem","Clemens",176,71,"R","R"
"clemedo01",1939,"USA",NULL,"Doug","Clemens",180,72,"L","R"
"clemeed01",1867,"USA",1930,"Fred","Clement",NULL,NULL,NULL,NULL
"clemeed02",1975,"P.R.",NULL,"Edgard","Clemente",188,71,"R","R"
"clemeja01",1864,"USA",1941,"Jack","Clements",204,68,"L","L"
"clemeje01",1983,"USA",NULL,"Jeff","Clement",220,73,"L","R"
"clemema01",1974,"USA",NULL,"Matt","Clement",190,75,"R","R"
"clemepa01",1962,"USA",NULL,"Pat","Clements",175,72,"R","L"
"clemepa02",1988,"USA",NULL,"Paul","Clemens",215,75,"R","R"
"clemero01",1934,"P.R.",1972,"Roberto","Clemente",175,71,"R","R"
"clemero02",1962,"USA",NULL,"Roger","Clemens",205,76,"R","R"
"clemewa01",1881,"USA",1952,"Wally","Clement",175,71,"L","R"
"clemoch01",1972,"USA",NULL,"Chris","Clemons",220,76,"R","R"
"clemola01",1947,"USA",2008,"Lance","Clemons",205,74,"L","L"
"clemove01",1891,"USA",1959,"Verne","Clemons",190,69,"R","R"
"clenddo01",1935,"USA",2005,"Donn","Clendenon",209,76,"R","R"
"cletoma01",1989,"D.R.",NULL,"Maikel","Cleto",250,75,"R","R"
"cleveel01",1862,"USA",1913,"Elmer","Cleveland",190,71,"R","R"
"clevere01",1948,"CAN",NULL,"Reggie","Cleveland",195,73,"R","R"
"clevest01",1986,"USA",NULL,"Steve","Clevenger",210,70,"L","R"
"clevete01",1932,"USA",NULL,"Tex","Clevenger",180,73,"R","R"
"clevimi01",1990,"USA",NULL,"Mike","Clevinger",210,76,"R","R"
"clevlbr01",1983,"USA",NULL,"Brent","Clevlen",205,73,"R","R"
"clibust01",1956,"USA",NULL,"Stan","Cliburn",195,72,"R","R"
"clibust02",1956,"USA",NULL,"Stew","Cliburn",195,72,"R","R"
"cliftfl01",1908,"USA",1997,"Flea","Clifton",160,70,"R","R"
"cliftha01",1912,"USA",1992,"Harlond","Clift",180,71,"R","R"
"clinege01",1946,"USA",NULL,"Gene","Clines",170,69,"R","R"
"clinemo01",1858,"USA",1916,"Monk","Cline",150,64,"L","L"
"clinety01",1939,"USA",NULL,"Ty","Cline",170,72,"L","L"
"clingbi01",1869,"USA",1958,"Billy","Clingman",150,71,"B","R"
"clintji01",1850,"USA",1921,"Jim","Clinton",174,68,"R","R"
"clintlo01",1937,"USA",1997,"Lou","Clinton",185,73,"R","R"
"clippty01",1985,"USA",NULL,"Tyler","Clippard",200,75,"R","R"
"clonito01",1940,"USA",NULL,"Tony","Cloninger",210,72,"R","R"
"clontbr01",1971,"USA",NULL,"Brad","Clontz",180,73,"R","R"
"clossjd01",1980,"USA",NULL,"JD","Closser",205,70,"B","R"
"clostal01",1943,"USA",NULL,"Al","Closter",190,74,"L","L"
"cloudke01",1975,"USA",NULL,"Ken","Cloude",200,73,"R","R"
"clouged01",1906,"USA",1944,"Ed","Clough",188,72,"L","L"
"clowebi01",1898,"USA",1978,"Bill","Clowers",175,71,"L","L"
"cloydty01",1987,"USA",NULL,"Tyler","Cloyd",210,75,"R","R"
"cluttbr01",1959,"USA",2016,"Bryan","Clutterbuck",223,76,"R","R"
"clybuda01",1974,"USA",2012,"Danny","Clyburn",220,75,"R","R"
"clydeda01",1955,"USA",NULL,"David","Clyde",180,73,"L","L"
"clydeto01",1923,"USA",2005,"Tom","Clyde",195,75,"R","R"
"clymebi01",1872,"USA",1936,"Bill","Clymer",155,70,NULL,NULL
"clymeot01",1876,"USA",1926,"Otis","Clymer",180,71,"B","R"
"coachpe01",1961,"USA",NULL,"Pete","Coachman",175,69,"R","R"
"coaklan01",1882,"USA",1963,"Andy","Coakley",165,72,"L","R"
"coangi01",1922,"USA",NULL,"Gil","Coan",180,72,"L","R"
"coateji01",1932,"USA",NULL,"Jim","Coates",192,76,"R","R"
"coatsbu01",1982,"USA",NULL,"Buck","Coats",200,75,"L","R"
"coatsja01",1990,"USA",NULL,"Jason","Coats",200,74,"R","R"
"cobbal01",1987,"USA",NULL,"Alex","Cobb",205,75,"R","R"
"cobbge01",1865,"USA",1926,"George","Cobb",168,72,NULL,"L"
"cobbhe01",1904,"USA",1980,"Herb","Cobb",150,71,"R","R"
"cobbjo01",1895,"USA",1947,"Joe","Cobb",170,69,"R","R"
"cobbty01",1886,"USA",1961,"Ty","Cobb",175,73,"L","R"
"cobleda01",1912,"USA",1971,"Dave","Coble",183,73,"R","R"
"cocanja01",1957,"P.R.",NULL,"Jaime","Cocanower",200,76,"R","R"
"cochrda01",1963,"USA",NULL,"Dave","Cochrane",180,74,"B","R"
"cochrge01",1889,"USA",1960,"George","Cochran",NULL,69,"B","R"
"cochrgo01",1890,"USA",1947,"Goat","Cochran",175,70,"R","R"
"cochrmi01",1903,"USA",1962,"Mickey","Cochrane",180,70,"L","R"
"cockmji01",1873,"CAN",1947,"Jim","Cockman",145,66,"R","R"
"cockral01",1962,"USA",NULL,"Alan","Cockrell",210,74,"R","R"
"cocopa01",1977,"D.R.",NULL,"Pasqual","Coco",185,73,"R","R"
"cocrege01",1884,"USA",1945,"Gene","Cocreham",192,75,"R","R"
"codirch01",1958,"USA",NULL,"Chris","Codiroli",160,73,"R","R"
"coellro01",1984,"USA",NULL,"Robert","Coello",250,77,"R","R"
"coffeja01",1887,"USA",1966,"Jack","Coffey",178,71,"R","R"
"coffeto01",1980,"USA",NULL,"Todd","Coffey",240,76,"R","R"
"coffiiv01",1977,"Curacao",NULL,"Ivanon","Coffie",190,73,"L","R"
"coffmdi01",1906,"USA",1972,"Dick","Coffman",195,74,"R","R"
"coffmke01",1965,"USA",NULL,"Kevin","Coffman",175,74,"R","R"
"coffmsl01",1910,"USA",2003,"Slick","Coffman",155,72,"R","R"
"cogandi01",1871,"USA",1948,"Dick","Cogan",150,67,"R","R"
"coganto01",1976,"USA",NULL,"Tony","Cogan",205,74,"L","L"
"coggida01",1976,"USA",NULL,"Dave","Coggin",195,76,"R","R"
"coggifr01",1944,"USA",1994,"Frank","Coggins",187,74,"B","R"
"coggiri01",1950,"USA",NULL,"Rich","Coggins",170,68,"L","L"
"coghlch01",1985,"USA",NULL,"Chris","Coghlan",195,72,"L","R"
"cogswed01",1854,"United Kingdom",1888,"Ed","Cogswell",150,68,"R","R"
"cohenal01",1908,"USA",2003,"Alta","Cohen",170,70,"L","L"
"cohenan01",1904,"USA",1988,"Andy","Cohen",155,68,"R","R"
"cohenhy01",1931,"USA",NULL,"Hy","Cohen",220,77,"R","R"
"cohensy01",1906,"USA",1988,"Syd","Cohen",180,71,"B","L"
"cokeph01",1982,"USA",NULL,"Phil","Coke",210,73,"L","L"
"cokerji01",1936,"USA",1991,"Jimmie","Coker",195,71,"R","R"
"colabch01",1983,"USA",NULL,"Chris","Colabello",210,76,"R","R"
"colanmi01",1976,"USA",NULL,"Mike","Colangelo",185,73,"R","R"
"colavro01",1933,"USA",NULL,"Rocky","Colavito",190,75,"R","R"
"colbecr01",1965,"USA",NULL,"Craig","Colbert",190,72,"R","R"
"colbemi01",1955,"USA",NULL,"Mike","Colbern",205,75,"R","R"
"colbena01",1946,"USA",NULL,"Nate","Colbert",205,74,"R","R"
"colbevi01",1945,"USA",NULL,"Vince","Colbert",200,76,"R","R"
"colboji01",1946,"USA",NULL,"Jim","Colborn",190,72,"R","R"
"colbrgr01",1969,"USA",NULL,"Greg","Colbrunn",190,72,"R","R"
"colcoto01",1870,"USA",1919,"Tom","Colcolough",180,70,"R","R"
"coleaj01",1992,"USA",NULL,"A. J.","Cole",215,77,"R","R"
"coleal01",1965,"USA",NULL,"Alex","Cole",170,74,"L","L"
"colebe01",1896,"USA",1975,"Bert","Cole",180,73,"L","L"
"coleda01",1930,"USA",2011,"Dave","Cole",175,74,"R","R"
"coledi01",1926,"USA",NULL,"Dick","Cole",175,74,"R","R"
"coleed01",1909,"USA",1999,"Ed","Cole",170,71,"R","R"
"colege01",1990,"USA",NULL,"Gerrit","Cole",225,76,"R","R"
"coleki01",1886,"USA",1916,"King","Cole",170,73,"R","R"
"colembo01",1890,"USA",1959,"Bob","Coleman",190,74,"R","R"
"colemca01",1987,"USA",NULL,"Casey","Coleman",185,72,"L","R"
"colemch01",1935,"USA",2016,"Choo-Choo","Coleman",165,69,"L","R"
"colemcu01",1887,"USA",1980,"Curt","Coleman",180,71,"L","R"
"colemda01",1950,"USA",NULL,"Dave","Coleman",195,75,"R","R"
"colemdu01",1987,"USA",NULL,"Dusty","Coleman",205,74,"R","R"
"colemed01",1901,"USA",1964,"Ed","Coleman",200,74,"L","R"
"colemgo01",1934,"USA",1994,"Gordy","Coleman",215,75,"L","R"
"colemje01",1924,"USA",2014,"Jerry","Coleman",165,72,"R","R"
"colemjo01",1863,"USA",1922,"John","Coleman",170,69,"L","R"
"colemjo02",1860,"USA",1915,"John","Coleman",NULL,NULL,NULL,"R"
"colemjo03",1873,"USA",1925,"Walter","Coleman",174,70,NULL,"L"
"colemjo04",1922,"USA",1997,"Joe","Coleman",200,74,"R","R"
"colemjo05",1947,"USA",NULL,"Joe","Coleman",175,75,"R","R"
"colemlo01",1986,"USA",NULL,"Louis","Coleman",205,76,"R","R"
"colemmi01",1975,"USA",NULL,"Michael","Coleman",180,71,"R","R"
"colempe01",1876,"USA",1948,"Percy","Coleman",NULL,NULL,NULL,"R"
"colemra01",1922,"USA",2010,"Ray","Coleman",170,71,"L","R"
"colemri01",1931,"USA",2004,"Rip","Coleman",185,74,"L","L"
"colemvi01",1961,"USA",NULL,"Vince","Coleman",170,72,"B","R"
"colesca01",1886,"USA",1942,"Cad","Coles",174,72,"L","R"
"colesch01",1931,"USA",1996,"Chuck","Coles",180,69,"L","L"
"colesda01",1962,"USA",NULL,"Darnell","Coles",185,73,"R","R"
"colest01",1966,"USA",NULL,"Stu","Cole",175,73,"R","R"
"coleta01",1989,"USA",NULL,"Taylor","Cole",200,73,"R","R"
"coletch01",1944,"USA",NULL,"Chris","Coletta",190,71,"L","L"
"colevi01",1968,"Russia",NULL,"Victor","Cole",160,70,"B","R"
"colewi01",1882,"USA",1965,"Willis","Cole",170,68,"R","R"
"colgaed01",NULL,"USA",1895,"Ed","Colgan",180,NULL,NULL,NULL
"colinal01",1981,"Venezuela",NULL,"Alvin","Colina",210,75,"R","R"
"collaal01",1887,"USA",1980,"Allan","Collamore",170,72,"R","R"
"collaha01",1898,"USA",1968,"Hap","Collard",170,72,"R","R"
"collawi01",1979,"P.R.",NULL,"Willie","Collazo",180,68,"L","L"
"collibi01",1863,"Ireland",1893,"Bill","Collins",150,NULL,"R","R"
"collibi02",1882,"USA",1961,"Bill","Collins",170,72,"B","R"
"collich01",1857,"CAN",1914,"Chub","Collins",165,71,"B","R"
"collida01",1853,"USA",1883,"Dan","Collins",NULL,NULL,NULL,NULL
"collida02",1952,"USA",NULL,"Dave","Collins",175,71,"B","L"
"collido01",1952,"USA",NULL,"Don","Collins",195,74,"R","L"
"collied01",1887,"USA",1951,"Eddie","Collins",175,69,"L","R"
"collied02",1916,"USA",2000,"Eddie","Collins",175,70,"L","R"
"colliha01",1869,"USA",1961,"Harry","Colliflower",175,71,"L","L"
"collihu01",1864,"USA",1892,"Hub","Collins",160,68,"R","R"
"colliji01",1870,"USA",1943,"Jimmy","Collins",178,69,"R","R"
"collijo01",1922,"USA",1989,"Joe","Collins",185,72,"L","L"
"collike01",1946,"USA",2016,"Kevin","Collins",180,73,"L","R"
"collilo01",1973,"USA",NULL,"Lou","Collier",170,70,"R","R"
"collior01",1880,"USA",1949,"Orth","Collins",150,72,"L","R"
"collior02",1907,"USA",1944,"Orlin","Collier",180,71,"R","R"
"collipa01",1896,"USA",1960,"Pat","Collins",178,70,"R","R"
"colliph01",1901,"USA",1948,"Phil","Collins",175,71,"R","R"
"collira01",1887,"USA",1970,"Ray","Collins",185,73,"L","L"
"colliri01",1896,"USA",1968,"Rip","Collins",205,73,"R","R"
"colliri02",1904,"USA",1970,"Ripper","Collins",165,69,"B","L"
"colliri03",1909,"USA",1969,"Bob","Collins",176,71,"R","R"
"collish01",1885,"USA",1955,"Shano","Collins",185,72,"R","R"
